# Team and debut decade per character, from the infobox of each Wikipedia article.
# team: first match among X-Men, Avengers, Fantastic Four, Defenders, X-Force, X-Factor, Alpha Flight, Thunderbolts, S.H.I.E.L.D., Guardians of the Galaxy, Inhumans, Eternals, Heroes for Hire, New Warriors, Excalibur, Asgard, Invaders, Midnight Sons in the article's `alliances` field.
# decade: the first year in the `debut` field, rounded down.
# Built by tools/build_week3_attributes.py.
node_id	team	decade
Abomination_(character)	Thunderbolts	1960
Adam_Warlock	Guardians of the Galaxy	1960
Agent_X_(Marvel_Comics)		2000
Ajak	Eternals	1970
Alex_Wilder		2000
Anne_Weying		1990
Anole_(character)	X-Men	2000
Anya_Corazon	Avengers	2000
Arabian_Knight_(character)		1980
Ares_(Marvel_Comics)	Avengers	1960
Backhand_(character)		1980
Balder_the_Brave		1960
Battlestar_(character)		1980
Baymax		1990
Beta_Ray_Bill	Avengers	1980
Betsy_Braddock	X-Men	1970
Bill_Foster_(character)	Defenders	1960
Bird-Brain_(Marvel_Comics)		1980
Black_Bolt	Inhumans	1960
Black_Cat_(Marvel_Comics)	Avengers	1970
Black_Fox_(Robert_Paine)		2000
Black_Jack_Tarr		1970
Black_Knight_(Marvel_Comics)		
Black_Marvel		1940
Black_Panther_(character)	Avengers	1960
Black_Rider_(character)		1940
Black_Widow_(Natasha_Romanova)	Avengers	1960
Blackthorn_(character)		1980
Blackwulf		1990
Blade_(character)	Avengers	1970
Blazing_Skull	Defenders	1940
Blue_Bullet		1970
Blue_Diamond_(character)	Invaders	1940
Blue_Eagle_(character)		1970
Blue_Marvel	Avengers	2000
Bob,_Agent_of_Hydra		2000
Box_(comics)	Alpha Flight	1980
Brain_Drain_(character)		1970
Breeze_Barton	S.H.I.E.L.D.	1940
Brian_Braddock	Avengers	1970
Bucky_(Marvel_Comics)		1940
Bug_(Marvel_Comics)	Guardians of the Galaxy	1970
Cable_(character)	X-Men	1980
Cammi_(character)		2000
Captain_Marvel_(Khn'nr)		2000
Captain_Marvel_(Marvel_Comics)		
Captain_Midlands		2000
Captain_Ultra	Avengers	1970
Captain_Universe	Avengers	1970
Caretaker_(comics)		2000
Ch'od		1970
Charcoal_(comics)	Thunderbolts	1990
Chase_Stein		2000
Citizen_V	Thunderbolts	1940
Cloak_and_Dagger_(characters)	X-Men	1980
Coldblood	S.H.I.E.L.D.	1980
Crane_Mother		2000
Crippler_(character)		1990
Cyclops_(Marvel_Comics)	X-Men	1960
Dargo_Ktor		
Darkdevil	New Warriors	1990
Darkhawk	Avengers	1990
Deadpool	X-Men	1990
Deathlok	Defenders	1970
Debrii	Avengers	2000
Delroy_Garrett	Avengers	1990
Detroit_Steel		2010
Devil_Dinosaur	Avengers	1970
Devil_Hulk		2000
Digitek_(character)		1990
Doctor_Druid	Avengers	1960
Doctor_Nemesis	X-Men	1940
Doctor_Spectrum		1960
Doctor_Strange	Avengers	1960
Dogpool		2010
Doom_2099	S.H.I.E.L.D.	1990
Dragon_Lord_(character)		1970
Dusk_(comics)		1990
Eddie_Brock	Avengers	1980
Elsa_Bloodstone	Avengers	2000
Emma_Frost	X-Men	1980
Empath_(character)	X-Men	1980
Emrys_Killebrew		1990
Enigma_(Marvel_Comics)		
Ethan_Edwards		2000
Fabio_Medina	X-Men	2010
Fandral		1960
Father_Time_(Marvel_Comics)		1940
Fin_Fang_Foom		1960
Firebird_(Marvel_Comics)	Avengers	1980
Firelord_(character)		1970
Flatman_(character)	Avengers	1980
Force_(comics)		1970
Frankenstein's_Monster_(Marvel_Comics)	Avengers	1950
Franklin_Richards_(character)	Fantastic Four	1960
Frog-Man	Avengers	1980
G._W._Bridge	S.H.I.E.L.D.	1990
Gargoyle_(comics)	Defenders	1960
Garrison_Kane		1990
Gauntlet_(Joseph_Green)	Avengers	2000
